t (s),AceX,AceY,AceZ,GirX,GirY,GirZ,Altura
17.372023582458496,-3368.00,12736.00,9940.00,-880.00,19.00,202.00,-1.52
17.42504334449768,-3216.00,12800.00,9928.00,-832.00,12.00,-9.00,-1.37
17.482752084732056,-3348.00,12940.00,9900.00,-813.00,49.00,-95.00,-1.20
17.540101289749146,-3576.00,12896.00,10036.00,-885.00,61.00,-78.00,-1.20
17.596895217895508,-3848.00,12856.00,9972.00,-898.00,26.00,20.00,-1.15
17.65449571609497,-4004.00,12736.00,10248.00,-898.00,-24.00,84.00,-1.24
17.71210217475891,-3688.00,12712.00,10064.00,-809.00,-34.00,145.00,-1.29
17.769708395004272,-3504.00,12856.00,10188.00,-805.00,-5.00,139.00,-1.54
17.826740503311157,-3460.00,12684.00,10224.00,-752.00,28.00,176.00,-1.16
17.879725217819214,-3508.00,12828.00,10116.00,-790.00,22.00,80.00,-1.51
17.937280654907227,-3420.00,12744.00,9792.00,-728.00,17.00,48.00,-1.51
17.99035668373108,-3480.00,12888.00,9800.00,-730.00,29.00,56.00,-0.92
18.048020839691162,-3612.00,12776.00,9892.00,-694.00,-20.00,54.00,-1.38
18.100903034210205,-3680.00,12744.00,10060.00,-827.00,8.00,60.00,-1.16
18.158522367477417,-3620.00,12852.00,9840.00,-902.00,17.00,115.00,-1.50
18.215497732162476,-3600.00,12800.00,9824.00,-871.00,0.00,104.00,-1.10
18.273082971572876,-3656.00,12648.00,10204.00,-918.00,-14.00,102.00,-1.36
18.33006978034973,-3408.00,12888.00,10004.00,-804.00,-42.00,191.00,-1.36
18.387131929397583,-3372.00,12764.00,10196.00,-768.00,10.00,101.00,-1.23
18.444883108139038,-3504.00,12884.00,10284.00,-733.00,19.00,108.00,-1.09
18.497987270355225,-3712.00,12912.00,9972.00,-704.00,4.00,44.00,-1.36
18.551929712295532,-3692.00,12844.00,9632.00,-711.00,24.00,67.00,-1.52
18.609447240829468,-3572.00,12808.00,9992.00,-760.00,-9.00,143.00,-1.48
18.666537284851074,-3616.00,12804.00,10060.00,-957.00,37.00,102.00,-1.50
18.723702430725098,-3444.00,12872.00,10000.00,-800.00,9.00,228.00,-1.55
18.781121253967285,-3368.00,12860.00,9844.00,-1047.00,42.00,-15.00,-1.55
18.833720445632935,-3512.00,12864.00,10092.00,-724.00,18.00,62.00,-1.29
18.891481399536133,-3800.00,12492.00,10252.00,-841.00,3.00,54.00,-1.22
18.948490142822266,-3652.00,12984.00,9808.00,-813.00,-18.00,38.00,-1.06
19.001996278762817,-3608.00,12908.00,9772.00,-748.00,50.00,99.00,-1.08
19.059106826782227,-3720.00,12616.00,10096.00,-786.00,19.00,90.00,-1.17
19.11285138130188,-3632.00,12740.00,9936.00,-793.00,-4.00,127.00,-1.59
19.170069217681885,-3656.00,12832.00,10024.00,-795.00,-9.00,119.00,-1.59
19.22694969177246,-3500.00,12808.00,9968.00,-771.00,44.00,157.00,-1.43
19.285431385040283,-3492.00,12588.00,10012.00,-901.00,-27.00,191.00,-1.52
19.341764211654663,-3296.00,12864.00,9820.00,-750.00,-42.00,80.00,-1.38
19.39905285835266,-3476.00,12704.00,9980.00,-810.00,-9.00,38.00,-1.29
19.452059745788574,-3452.00,12976.00,9928.00,-914.00,21.00,-10.00,-1.46
19.50954556465149,-3692.00,12820.00,10064.00,-819.00,62.00,90.00,-1.71
19.567739725112915,-3672.00,12748.00,10156.00,-838.00,25.00,116.00,-1.71
19.624500274658203,-3636.00,12892.00,9968.00,-880.00,39.00,146.00,-1.46
19.67696738243103,-3568.00,12580.00,9984.00,-734.00,33.00,261.00,-1.42
19.735196352005005,-3388.00,13044.00,9812.00,-971.00,79.00,87.00,-1.38
