T (ms),AceX,AceY,AceZ,GirX,GirY,GirZ,Altura
328.0,17608.00,-2220.00,2284.00,2592.00,4494.00,199.00,-1.14
329.0,17536.00,-2284.00,2464.00,994.00,2022.00,-187.00,-1.12
330.0,17272.00,-2028.00,2216.00,336.00,23.00,944.00,-0.86
331.0,17100.00,-1996.00,3480.00,-1051.00,-448.00,-296.00,-1.08
332.0,21312.00,-1940.00,3748.00,-1097.00,-3276.00,-2689.00,-1.13
333.0,17376.00,-1712.00,2100.00,-511.00,-1727.00,-1990.00,-1.13
334.0,17708.00,-1504.00,2028.00,-1838.00,-3328.00,-964.00,-1.04
335.0,16028.00,-2476.00,1744.00,-1549.00,-1482.00,3256.00,-0.94
336.0,17548.00,-1440.00,1624.00,-496.00,8.00,-395.00,-1.36
337.0,16764.00,-1800.00,1344.00,-521.00,91.00,-1078.00,-1.36
338.0,17364.00,-1308.00,1840.00,-363.00,-37.00,-3567.00,-0.99
339.0,17048.00,-588.00,1696.00,-605.00,-83.00,-3915.00,-1.20
340.0,19632.00,612.00,2656.00,-723.00,-708.00,-32.00,-1.20
341.0,16912.00,-204.00,2284.00,-352.00,-253.00,-237.00,-1.22
342.0,18416.00,-204.00,52.00,1917.00,137.00,469.00,-1.03
343.0,17532.00,-128.00,2100.00,2378.00,-358.00,41.00,-1.19
344.0,17088.00,-384.00,892.00,1203.00,-102.00,159.00,-1.19
345.0,17352.00,-444.00,1952.00,508.00,145.00,354.00,-0.79
346.0,16960.00,-708.00,2340.00,-405.00,-149.00,64.00,-0.89
347.0,17684.00,-388.00,1468.00,-640.00,-71.00,64.00,-0.89
348.0,16936.00,-144.00,2256.00,450.00,-129.00,192.00,-0.87
349.0,17248.00,-520.00,1536.00,-46.00,120.00,298.00,-0.58
350.0,17472.00,-268.00,1676.00,-213.00,-68.00,94.00,-0.97
351.0,17732.00,100.00,724.00,1465.00,48.00,266.00,-0.82
352.0,17456.00,-356.00,1248.00,-86.00,215.00,251.00,-0.82
353.0,17608.00,-336.00,1392.00,-661.00,-31.00,117.00,-0.90
354.0,17540.00,-220.00,1356.00,-811.00,47.00,145.00,-0.92
355.0,17500.00,-328.00,1436.00,-763.00,26.00,139.00,-0.82
356.0,17476.00,-368.00,1620.00,-550.00,51.00,156.00,-1.25
357.0,17568.00,-312.00,1508.00,-778.00,-32.00,98.00,-1.14
358.0,17504.00,-364.00,1676.00,-714.00,-21.00,108.00,-1.14
359.0,17516.00,-492.00,1460.00,-384.00,-20.00,136.00,-1.12
360.0,17452.00,-316.00,1156.00,-720.00,-140.00,84.00,-0.95
361.0,17552.00,-468.00,1596.00,-684.00,-40.00,130.00,-0.94
362.0,17496.00,-320.00,1768.00,-160.00,66.00,189.00,-0.98
